,mass_gev,limit_cm2
0,3.0,1.0314910183004419e-38
1,4.0,7.331543068500026e-40
2,5.0,2.961386375111981e-40
3,6.0,1.9309221422991326e-40
4,7.0,1.512934960055428e-40
5,8.0,1.3027681923800887e-40
6,9.0,1.1976806252349947e-40
7,10.0,1.323223616194909e-40
8,11.0,1.485063222157605e-40
9,12.0,1.7719865677389963e-40
