,mass_gev,limit_cm2
0,3.0,3.6993465864035934e-43
1,4.0,2.1790407580169878e-44
2,5.0,5.971321822680576e-45
3,6.0,3.0675546766209694e-45
4,7.0,2.805117224570776e-45
5,8.0,4.1735589801896723e-45
6,9.0,4.12907784584784e-45
7,10.0,3.7179713051886763e-45
8,11.0,3.324212642806565e-45
9,12.0,2.9278646124527005e-45
