,Unnamed: 0,mass_gev,limit_cm2
0,0,3.0,2.368595054808442e-38
1,1,4.0,1.3951829176088962e-39
2,2,5.0,3.823281492967929e-40
3,3,6.0,1.9640751867108915e-40
4,4,7.0,1.7960433365978892e-40
5,5,8.0,2.672220872129479e-40
6,6,9.0,2.6437407629065257e-40
7,7,10.0,2.380519976083372e-40
8,8,11.0,2.1284065828873706e-40
9,9,12.0,1.8746352849696225e-40
