energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
0.5,0.005771939787738916,0.005372126523415456,0.0004986994803380985,4.214544015228618e-05,1.1351125780942675e-05,7.370714633464503e-06,5.071105316281285e-06
0.51,0.005952676486132738,0.005606379014031895,0.0005304653002578021,4.4424106336236197e-05,1.1724912131429525e-05,7.991826433537478e-06,5.585747675302538e-06
0.55,0.0067352592209154434,0.006695776747531896,0.0006971541250658048,5.984728518843747e-05,1.404067550718896e-05,9.332246568201017e-06,6.261940183640777e-06
0.6,0.007707947155390993,0.008178282454267754,0.0009413511780327558,8.555979952275875e-05,1.7863992995023615e-05,1.1104393617508007e-05,7.605080173613693e-06
0.65,0.008683166984531311,0.009747641725722562,0.0012369766841298362,0.00011859603308737102,2.2233544052841642e-05,1.2689695829749826e-05,9.620655353669711e-06
0.7,0.009786237121805591,0.011738035865260973,0.001655108644876485,0.00016747203104316294,2.844991053343113e-05,1.4939561753871122e-05,1.0872202121017111e-05
0.75,0.010830545695304927,0.013827897097278852,0.002143792138887044,0.00023059836132467633,3.8084357178210657e-05,1.8480744111532692e-05,1.2805283142929003e-05
0.8,0.01184234468740232,0.016081605595166703,0.002745705900936718,0.00031576296739577804,4.866536071479952e-05,2.145789781451482e-05,1.4693332801465203e-05
0.9,0.013838056457486847,0.02126946148805562,0.004406619569590681,0.0005939150099176143,8.48740679889784e-05,3.0053577453492685e-05,2.0114535137423507e-05
1.0,0.015424119351914647,0.026678653014441146,0.006624346739875065,0.0010367852766710512,0.00015095777112721225,4.2726617556215764e-05,2.511875635862193e-05
1.1,0.01656071133673443,0.03224500102453234,0.009517559496481389,0.0017487638383001144,0.0002665504689252446,6.102889086305463e-05,3.2152156192048756e-05
1.2,0.017142959117546215,0.03728267472652259,0.012954550682159666,0.0027480949397980987,0.0004550021583521191,9.462071021557882e-05,4.117504960119145e-05
1.3,0.017182782161148328,0.041486187275280396,0.016721927469568826,0.004079702768680471,0.0007452248697632474,0.0001453163767737159,5.295012768984919e-05
1.4,0.016747895300445084,0.04474458870440069,0.020746907968145028,0.005774672770429886,0.0011685243555849766,0.00022581834925292644,6.87442810755945e-05
1.5,0.01595063503992092,0.04689103999998808,0.02479015527707993,0.00784340053025429,0.0017715671180099479,0.0003518840476947838,9.076309709013519e-05
