energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
0.5,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.51,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.55,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.6,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.65,2.1447226613759995e-07,1.2469206073284154e-08,3.707578616142274e-09,1e-10,1e-10,1e-10,1e-10
0.7,0.00010129968133926396,8.639025945961459e-06,2.1829358249904037e-07,9.780850470065769e-08,9.62818691134466e-08,3.6710846085552234e-08,4.535377562046416e-08
0.75,0.0007647076999890777,0.00012797895411133746,5.590648949742424e-06,9.582181754707588e-07,6.136256799102284e-07,4.918027615546809e-07,2.753859215975582e-07
0.8,0.0022892773971664804,0.0005922278833839335,3.78049679860477e-05,3.934004074931767e-06,2.227300525605401e-06,1.5734959706666455e-06,1.1317869645359468e-06
0.9,0.0065812475276465065,0.0028918810883662256,0.0003283500520735935,3.0768349668083145e-05,8.85786742984944e-06,5.731369889972609e-06,3.877792975904085e-06
1.0,0.011630138342510993,0.0075128192646866055,0.0013281657016652793,0.00014970904890566488,2.6382839953294214e-05,1.2484113752248006e-05,8.815800268351105e-06
1.1,0.01499929249280689,0.01224944714428978,0.00285398653803825,0.00039294066981135703,5.894172642826254e-05,2.165829614668921e-05,1.4144157547654746e-05
1.2,0.017672636538459994,0.01783865779619141,0.0053229152690070685,0.0009063898730838251,0.00013403721984862893,3.611330090045328e-05,2.0266089137194186e-05
1.3,0.018981849882446604,0.022240313700077934,0.007861311970660381,0.001549278686483188,0.00024506521365880304,5.618438048630714e-05,2.6562964758868047e-05
1.4,0.01966863665357913,0.02656920912040155,0.011031528720537422,0.0025241877114766664,0.0004369857468747948,8.805367587506885e-05,3.584908782929413e-05
1.5,0.019748158168581404,0.030182966461014232,0.014437208329612001,0.003772464457740765,0.0007212173486757234,0.00013871575807720415,4.6982955888505426e-05
1.6,0.019353140035155512,0.03291880468410945,0.017728777795719484,0.005203797238208949,0.0010832126772469335,0.00020907822340636428,6.13931139004098e-05
1.7,0.018637492153511327,0.03507373038414964,0.021139192212281825,0.006934373084609191,0.0015897984281313421,0.0003187487985357701,8.245277853666522e-05
1.8,0.017672293716796527,0.036565440032532884,0.024496319613272838,0.008912211325484193,0.0022560926860761554,0.00046461222739815065,0.00011104042175858198
1.9,0.01660710262814621,0.03728107236701496,0.027353396593004127,0.010897154459549193,0.0029711057095032994,0.0006457075985872585,0.00014600895960657223
2.0,0.015460833093147866,0.03750161644656876,0.030006277211762345,0.01300752124937234,0.0038341044502252395,0.0008833030862456486,0.0001964484512654102
2.1,0.014240179744127857,0.03722066069772192,0.032357511247982945,0.015214483911368537,0.004834637295377564,0.0011854937736442694,0.00026053242512700804
2.2,0.013017814148150985,0.036558632259579116,0.03435058216744272,0.017420052261253864,0.006000900030048206,0.0015572144246414122,0.0003480689273184678
2.3,0.011823966230064733,0.03551318655101847,0.03592112775214078,0.019657311152937673,0.007249707532728911,0.002005316700357765,0.0004548396462208032
2.4,0.010671703035333312,0.03417028841008647,0.03714075951895177,0.021776991116866727,0.00859851133680494,0.002529461191866095,0.0005926018000233263
2.5,0.009563029552600855,0.032631744715546196,0.03790114316695091,0.023857932210644195,0.01004042702516111,0.003136420984877322,0.0007548438476684849
2.6,0.00852463625995289,0.03089175293286641,0.038347968692165,0.025689815815790863,0.011558969507301467,0.003815962348192636,0.0009553118673002986
2.7,0.007574561753329959,0.029024254746069268,0.038370487306925334,0.02741418308078226,0.013106851723231644,0.004590344893676957,0.001188005677804363
2.8,0.00668645837126459,0.0271276586813843,0.03804994741901664,0.02893607853180318,0.014695044454898795,0.005435700087296691,0.0014753002177873287
2.9,0.00586184987402875,0.025171136996545808,0.037469578865921796,0.030210600130605975,0.01626080953784886,0.006354399812565753,0.0017989529268384262
3.0,0.005146618162264066,0.023183160710848284,0.036571248374117314,0.031241737748040253,0.017769303553018836,0.0073416927296760855,0.0021682415752089317
3.1,0.004484418387796672,0.021295425419291268,0.03542955799702315,0.03196920214890479,0.01925643132992715,0.008354350374225068,0.0025703571532819046
