energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
0.5,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.51,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.55,4.724859797954559e-07,5.743332266807557e-08,1e-10,1e-10,1e-10,1e-10,1e-10
0.6,1.810452492594719e-05,4.5686816293001115e-06,1.0762029230594606e-07,2.5281159200668988e-08,3.1481132426262506e-08,6.6509108114241525e-09,1e-10
0.65,0.000129042976424098,4.6104739633202555e-05,1.016770099401484e-06,1.5639198124408932e-07,9.578039348125447e-08,7.714355554103517e-08,6.318396806717966e-08
0.7,0.00042311761367261395,0.00019289647032737738,5.391292675137479e-06,8.041309928893828e-07,4.635055661201572e-07,2.7045146465298935e-07,2.890450471639775e-07
0.75,0.0010738393933767084,0.0005990310168761015,2.397193732440457e-05,2.379295157790102e-06,1.3122401398420538e-06,1.1829274380205282e-06,6.40028732418977e-07
0.8,0.002086087282704115,0.001389524612119197,7.468265006721078e-05,6.559838474987957e-06,3.0553683954481594e-06,2.224347555637111e-06,1.641851521134302e-06
0.9,0.004608919698978057,0.003988298667302734,0.00032556055786311515,2.7450689632892503e-05,7.937978386880416e-06,5.769382507205336e-06,4.013386374712713e-06
1.0,0.007701220415015831,0.008276180928076518,0.0009711834592992088,8.9135398619173e-05,1.8233380155568273e-05,1.0811985197657637e-05,8.170428653359735e-06
1.1,0.01022992784472828,0.012842288410776271,0.0019379581956285251,0.0002042110912424365,3.347198892115974e-05,1.6753199380042245e-05,1.2197248693109063e-05
1.2,0.012581702388213361,0.018217354121557484,0.003463701022490862,0.0004313355829197119,6.367194203377169e-05,2.5372276150580075e-05,1.7446741294264988e-05
1.3,0.014129762003924948,0.022952154261331577,0.005179011435385938,0.0007471249848317998,0.00010576207934141906,3.440008068858747e-05,2.1509606692196593e-05
1.4,0.015348435839249613,0.02775300906452361,0.0073669268545257915,0.001218727597234842,0.0001806650708991317,4.704438703178743e-05,2.7422320258618794e-05
1.5,0.016078209683756357,0.032109204654560713,0.009835731504263857,0.0018552096093243362,0.00028793891476748545,6.692441696584672e-05,3.3694657315011536e-05
1.6,0.016381248957033884,0.03568126474064409,0.01242411359172699,0.002639989999879591,0.0004362021295291091,9.147152556061577e-05,3.977379264890335e-05
1.7,0.016343005800828463,0.03878798923698546,0.015238602133457652,0.0036094279428553395,0.0006521876806086402,0.00012721850425839455,4.774854083060276e-05
1.8,0.016044909126293187,0.04127000329884352,0.018100554711310817,0.004803154316617292,0.0009335597876143547,0.00017991514855204282,5.875397497952517e-05
1.9,0.015485553683562381,0.0428936985124302,0.02083372986432256,0.0060606219601035405,0.0012776256647962058,0.00024842010342897015,7.121984994827857e-05
2.0,0.014797151468296747,0.04393485563218951,0.02344927726845684,0.007467609125600488,0.001700770751680744,0.000338607443678382,8.795422980666933e-05
2.1,0.013981869409522498,0.04439377397169293,0.025925946056173498,0.009021228709448017,0.002223185541875977,0.0004620006783366132,0.00011092670271932448
2.2,0.013093603704786965,0.04429148258801163,0.02822160310030524,0.010689660460155065,0.002832297240523124,0.0006145474045085475,0.00014100443449797107
2.3,0.012126306055746728,0.043730597467593536,0.030189327621351524,0.01238307431259462,0.003548440686216961,0.0008076963032775941,0.0001755364139604726
2.4,0.01116815542828028,0.042733681561829454,0.031897144488835974,0.014118100463401163,0.004349651182708708,0.0010430396076100995,0.00022539078488826303
2.5,0.010193310924257671,0.04135233949946999,0.0332743467756516,0.01584506250764795,0.005244821215667722,0.0013304721352654508,0.00028742049542129777
2.6,0.009232865694773223,0.039688161731554907,0.034324969703310164,0.017558033702478493,0.006221370678500521,0.001665634284546355,0.00036696256403802584
2.7,0.00834050585548939,0.03778707317852379,0.035031269454230074,0.019177700004862637,0.007247765656608907,0.0020601804259621965,0.0004576980407440673
2.8,0.0074712835483622675,0.035764569110550884,0.035371838665485364,0.020711414985312294,0.008353835648752462,0.0025107034294295253,0.00057940011412497
2.9,0.006679964204347735,0.03357797150108697,0.03545861149919864,0.022127207992108565,0.009474781025289283,0.0030182704713564933,0.0007169530768966204
3.0,0.005910694810865522,0.03139558936876714,0.03521544004117243,0.023373428455646158,0.010633073995864986,0.0035748443052232236,0.000875940818293039
