energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
0.5,0.0055232574396967445,0.0014242443157190348,0.0001062283824670324,1.126902397513424e-05,5.008271989822254e-06,3.3452530342342746e-06,2.3511911100148817e-06
0.51,0.0060072010180485195,0.0016119843540835655,0.00012613448713302817,1.2683954887986008e-05,5.557808357477441e-06,3.8101228106024108e-06,2.9262217003118983e-06
0.55,0.007927575751245189,0.002443565361914664,0.00022507019893228675,2.3040572299358812e-05,7.353384292124385e-06,5.34581815004459e-06,3.839731657505688e-06
0.6,0.010562052174463534,0.003832955577175538,0.00041736354832946736,4.370479381322658e-05,1.1242415378687198e-05,7.540325357913505e-06,5.457312444447429e-06
0.65,0.013348811680704994,0.005603244150879871,0.0007232051459675967,7.86330988913772e-05,1.7849776531456834e-05,1.0692304993269174e-05,7.918319621084968e-06
0.7,0.01583141952876426,0.007494434353330001,0.001113284826542725,0.0001310310301786681,2.5357267568104637e-05,1.3888340429664415e-05,1.0242152965661555e-05
0.75,0.01833385504671582,0.009720720747392617,0.0016557792974108392,0.00021005404438196665,3.688409571528245e-05,1.795684229373845e-05,1.2069613763687759e-05
0.8,0.02062927844098371,0.012145256595648937,0.002352582793523053,0.00032505472893298306,5.4067717362626945e-05,2.238562686205786e-05,1.5059927547571295e-05
0.9,0.024328003554182624,0.01716657760196603,0.004105239632540928,0.0006612540011829024,0.0001068669266396871,3.4080889092680255e-05,2.0919227215639157e-05
1.0,0.02701880352007833,0.02248528715655953,0.006535603954268108,0.0012405355307024634,0.00020758318419991927,5.4532787172791033e-05,2.782121153652034e-05
1.1,0.028590743129126524,0.02756691106434967,0.009498220170356033,0.0020937577724671197,0.0003763617547160508,8.51205790841414e-05,3.737562296866892e-05
1.2,0.02917917854928322,0.03225325221370364,0.013007904088113875,0.0033025579162335368,0.00064972862159966,0.00014044447695433783,5.066892865418226e-05
1.3,0.02884010788723005,0.03601020404855394,0.01667242959633945,0.004832134678017472,0.0010496367772203862,0.00022055509422895525,6.787581860185355e-05
1.4,0.02782273837029069,0.03893362239926121,0.020579323657788,0.006734722245665198,0.001627512690280064,0.0003525771057545951,9.655932406961165e-05
1.5,0.026297375628600007,0.0409086227169039,0.024380992837767023,0.008925768867049827,0.002376034461640683,0.0005405988083088259,0.00013723943558154316
1.6,0.024447608380981194,0.041926977832099414,0.027868734976780978,0.011338293085414158,0.0033206847820478865,0.0008039881016719041,0.0001940861665147259
1.7,0.02240457453042661,0.04207909001686058,0.03102871731258692,0.013944138698397876,0.004482991117836221,0.0011678379603749151,0.00027629516565913503
1.8,0.02025833885416565,0.041532290460061065,0.033742721555672865,0.01667221162901879,0.005856202150625564,0.0016331340097784502,0.0003944783255922235
