energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
0.5,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.51,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.55,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.6,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
0.65,7.28818017244339e-07,1.82054191017151e-08,1e-10,1e-10,1e-10,1e-10,1e-10
0.7,0.00019371031833589086,1.549249766051773e-05,4.814883846044541e-07,1.6924621164797092e-07,1.2164241850377995e-07,9.056485533713728e-08,8.44315338134735e-08
0.75,0.0012904930255305774,0.0001851658526217927,8.176066331267276e-06,1.263628793358746e-06,8.304568153619848e-07,5.563772439955844e-07,5.155374914406555e-07
0.8,0.0035953935948627573,0.000773960483170149,4.743364078998499e-05,5.861189148426149e-06,2.925888161658778e-06,1.952834514379678e-06,1.5471289908881165e-06
0.9,0.009652777324229174,0.003373369902063537,0.000350600895166989,3.723939258396328e-05,1.062785242795794e-05,7.0500753641119376e-06,5.039121668931612e-06
1.0,0.016573408962696483,0.00823399064967499,0.0012980347468644336,0.00015555075440168155,2.97051310777674e-05,1.5434261425133906e-05,1.0435447183249763e-05
1.1,0.02112557536531663,0.013096065220119755,0.0026795537505900787,0.0003871084636145855,6.29484501027941e-05,2.4130003558391067e-05,1.57457703095637e-05
1.2,0.024860215979214822,0.01875932926962113,0.004848284797116517,0.0008340055722862352,0.00013661123452425177,4.0172716569296386e-05,2.2891618137349522e-05
1.3,0.02675061069957465,0.023180767629118876,0.0070354325027400105,0.0013923685541826479,0.0002356238039678285,6.0130376138090023e-05,2.9519056350570118e-05
1.4,0.027865589772072635,0.027544588693354986,0.009765158840013733,0.0022084014646619383,0.0004011763586801248,9.003578881980056e-05,3.857968825100311e-05
1.5,0.028143863490656222,0.031255930022490865,0.012668389334202395,0.003238516586595158,0.0006339957505875655,0.00013646734538138306,4.867741177381757e-05
1.6,0.02779019128706542,0.03411407445209468,0.015464224807585464,0.004382822964053174,0.0009392327547412954,0.0001967889299088421,6.310019951821232e-05
1.7,0.02699434541086414,0.03637728593788709,0.01842439429583844,0.005773046623556002,0.0013467336687529058,0.00028848909310220385,8.135285505470879e-05
1.8,0.025842901105940286,0.03805392476312422,0.021322571117395734,0.007354454536706809,0.001858942695642124,0.00041195511821805474,0.00010804712376531466
1.9,0.024512359235733246,0.038984958795553706,0.023791594923600515,0.00891253285972891,0.002430477057805655,0.000564026231290693,0.0001410726242780519
2.0,0.02304342007473019,0.0393677150273522,0.0261049081233537,0.010585346053253392,0.0030915472105848773,0.0007461328423047087,0.00018038066659267494
2.1,0.021443218703878372,0.039362221207122475,0.028177919839587777,0.012357628433936868,0.003871622518396961,0.0009846281543689412,0.00023509097531318468
2.2,0.01983000452581408,0.038871406536503686,0.030003241375852786,0.01411921208646239,0.00475236651581167,0.0012756243572657976,0.00030514128684517027
2.3,0.018195115791434242,0.038021282947049435,0.03155252925791084,0.015875120320011347,0.005692080470955374,0.0016089147612142279,0.00039004479956442626
2.4,0.016631074469043355,0.03688033202912837,0.03271095250835896,0.017620688295629,0.0067265582425171085,0.002006924092046536,0.000494016615237533
2.5,0.01507621896937894,0.03548826307948203,0.033587721437228345,0.019271333808669456,0.007800284610621303,0.002455293567977479,0.0006251904289143017
2.6,0.013614005247107732,0.03388891870145592,0.03414225568742092,0.02080428496423368,0.00896285647450322,0.0029816591135537057,0.0007731169619487055
2.7,0.01222140540891178,0.03214793263290916,0.03439596715191243,0.022220843116036677,0.010132055790444596,0.0035449696404348725,0.0009547036902276818
2.8,0.010920953574536586,0.03029132489286219,0.034319335979617796,0.023531801554489713,0.011352108581115591,0.004179070381128655,0.001162748107858072
2.9,0.00973290455335577,0.02837165409565723,0.03400170352748927,0.024668621183753063,0.012549218419507752,0.004846494613612695,0.0014070210845026575
3.0,0.008630357526895564,0.02643172587464676,0.03343251913231311,0.02557963732520998,0.013722959448042521,0.005578626336817475,0.001666479946218985
3.1,0.007620935452915527,0.024509396819761945,0.03266319208668825,0.026294827025164353,0.014850817784193119,0.0063250271192774625,0.0019604453972692725
3.2,0.006730327208774131,0.022589350091784612,0.031671815446626526,0.026828601758355462,0.015936388586141444,0.0071081299875709325,0.002290122641789369
