energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
0.5,0.00047150213286787133,6.534800005674363e-05,2.590299437046093e-06,5.606954249739353e-07,3.5436345994475927e-07,2.826028436422098e-07,1.8776036947965816e-07
0.51,0.0005721343968671541,8.389788084238769e-05,3.3003001040218026e-06,6.577631434798994e-07,4.5458908498284807e-07,3.533106473088601e-07,2.4220218420034375e-07
0.55,0.0011118338779792145,0.0002146139494079347,9.95982063025252e-06,1.4190862408281369e-06,9.688984099030015e-07,7.558970057965336e-07,4.5384539127343337e-07
0.6,0.0022326763872137557,0.0005700302526530658,3.596173867136312e-05,3.942643456458783e-06,2.0435581493385632e-06,1.437436018585786e-06,9.93722112179081e-07
0.65,0.0038529438854123174,0.0012650949194884385,0.0001038731823679813,9.631472247540948e-06,3.91266926080009e-06,2.6002307853106517e-06,1.9926102092863648e-06
0.7,0.005702257612842311,0.002297156897581829,0.00023470340620964717,2.150292608380615e-05,7.396054182053427e-06,4.5944280523055325e-06,3.234180871547129e-06
0.75,0.007932676235506763,0.0038790626127257963,0.0004994661968836134,4.7227666135129384e-05,1.1180743550059935e-05,7.182822597024893e-06,5.11001741737016e-06
0.8,0.010242694448526851,0.005941051543151948,0.0009246818556034514,9.679556379466673e-05,1.892421004414113e-05,1.0441901530919979e-05,7.262774865327698e-06
0.9,0.014118230407219077,0.01068881668958353,0.0022844928850233475,0.0002959825681558087,4.551502948344083e-05,1.8195093998608913e-05,1.230982452421689e-05
1.0,0.017233526094780686,0.016398373263997273,0.004555749937029184,0.0007270324906799172,0.0001090811341377923,3.146598963349734e-05,1.8404534071976563e-05
1.1,0.01907491086433951,0.021691923828605818,0.00742878576378463,0.0014177340967404793,0.0002198392520213005,5.179004677980936e-05,2.5971104604007035e-05
1.2,0.02007318380513744,0.026938603301957346,0.011093201869406998,0.0025234484008824732,0.0004369769354131664,8.811522101968144e-05,3.5451511724880755e-05
1.3,0.020193179678608057,0.03100628447422065,0.014907741551240954,0.003915750645738236,0.0007469266775822602,0.00014316770841626413,4.805677227408267e-05
1.4,0.019732736936165417,0.03443961997278699,0.019117445100165262,0.005779517541844262,0.0012326627735337547,0.00023844906716465053,6.681255302398992e-05
1.5,0.018809565255069386,0.036899867207945344,0.023327165687819416,0.008004362346108563,0.0019141839064046513,0.0003847480472147391,9.409061764777405e-05
1.6,0.01763370286413631,0.038365596345516825,0.02723820159797489,0.010479087693161068,0.0027632954271319286,0.0005904555915939968,0.00013614554431734261
1.7,0.01624841398404793,0.039048386567291066,0.030906446662963615,0.01325526196762557,0.0038710581645199776,0.0008872101150736306,0.00019613588080643897
1.8,0.01475526639036635,0.038921083134074594,0.0341579004359299,0.01622359383069275,0.005229894668421137,0.0012935666960716186,0.00028653975876002935
1.9,0.01327244845780311,0.038172780729231914,0.036801802268858534,0.019191531126678523,0.006736198846709443,0.0017895556208953195,0.00040173305798414384
2.0,0.011828193577403818,0.0368556837080912,0.038814573506956974,0.022140941165514558,0.008486646960001284,0.0024220780421245146,0.0005627656280603494
2.1,0.010423969468920392,0.03515705253498745,0.04029416462367709,0.025007893419183448,0.01040311760994551,0.0032080947092116173,0.0007695590010720454
2.2,0.009124044832829989,0.03310051094077276,0.04118111538704124,0.027683779545343245,0.012480951001256712,0.004141066157474499,0.0010315512593496
2.3,0.007934858050525542,0.030841567652179845,0.04143404793369888,0.030075809080989023,0.014593305752206714,0.005176139985173342,0.0013589792400687973
2.4,0.00685543674934235,0.02850193535271941,0.041137069910642476,0.03211298874347508,0.01676847722452166,0.006357312997395381,0.0017620003410631691
2.5,0.005879503942534814,0.026114088779925715,0.04039800139768569,0.0338445983948928,0.01892438755708604,0.00766158377759667,0.002228054030349885
2.6,0.00502507931342823,0.023688981239133784,0.03923617904158888,0.035168012934344406,0.02103456304894035,0.009061781958709395,0.002777425728572669
2.7,0.004267105141842443,0.021376951091080613,0.03772624246844318,0.03607652062266914,0.022986947515936204,0.010562550650402912,0.003399458600951211
2.8,0.003616747527898888,0.019172867932450786,0.03595799161836085,0.03655558300539766,0.024778592289411695,0.012076571653611087,0.004078325463166899
2.9,0.003051832689695672,0.017083058555677547,0.03398081073613581,0.03669795857808677,0.026373456333059354,0.013612540686684573,0.004824291301907363
